"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","101","1007","INTRO TO THE AIR FORCE I","N/A","Warner,Nick","23","31","0"," 3.826"," 3.195","95.7","0.0","0.0","0.0","9","22","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","3","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","151","9673","AF LLAB I","N/A","O'Neill,Michael P","42","48","0"," 4.000"," 3.216","100.0","0.0","0.0","0.0","6","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","201","1008","TEAM AND LDRSP FUND USAF I","N/A","Lu,Hsiao-Wei","14","16","0"," 4.000"," 3.135","100.0","0.0","0.0","0.0","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","301","1009","LEADING AND COMM USAF I","N/A","O'Neill,Michael P","8","9","0"," 4.000"," 3.246","100.0","0.0","0.0","0.0","1","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","401","1010","NATL SEC PREP ACTV DUTY I","N/A","Lu,Hsiao-Wei","7","7","0"," 4.000"," 3.269","100.0","0.0","0.0","0.0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2281","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","35","40","0"," 3.734"," 3.211","82.9","17.1","0.0","0.0","5","12","10","7","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2282","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","14","17","0"," 3.671"," 3.233","71.4","28.6","0.0","0.0","3","1","6","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2284","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","16","16","0"," 3.350"," 3.097","43.8","43.8","12.5","0.0","0","1","4","2","4","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2285","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","22","24","0"," 3.655"," 3.408","68.2","31.8","0.0","0.0","2","7","4","4","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","290","2287","INDEPENDENT STUDY","N/A","Walton,Timothy","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","301","2288","ADAPTIVE TEAM LEADERSHIP","LEADERSHIP & PROBLEM SOLVING","Walton,Timothy","14","14","0"," 3.700"," 3.392","78.6","21.4","0.0","0.0","0","1","4","6","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","301","3830","ADAPTIVE TEAM LEADERSHIP","LEADERSHIP & PROBLEM SOLVING","Walton,Timothy","20","21","0"," 3.885"," 3.377","90.0","10.0","0.0","0.0","1","8","7","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","401","2290","DEVELOPING ADAPTIVE LEADERS","LEADERSHIP & MANAGEMENT","Walton,Timothy","21","21","0"," 4.000"," 3.541","100.0","0.0","0.0","0.0","0","17","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","1","Regular Academic Session","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-V","594","12855","EXP CRSE FOR MBA GLB EXEC TRCK","LEADERSHIP DEVELOPMENT","Thacker,Amanda","30","31","100"," 3.873"," 3.802","93.3","6.7","0.0","0.0","1","3","17","8","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","01-24-2025"
"IUBLA","Bloomington","4248","Fall 2024","NON","Non Standard Session","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-V","595","10692","EXP CRSE FOR MBA GLB EXEC TRCK","GLOBAL BUSINESS ENVIRONMENT","Thacker,Amanda","30","31","100"," 3.953"," 3.799","93.3","6.7","0.0","0.0","1","10","18","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-24-2025"
